source;row;territory_source_name;age_group;status
abortions;46;Крымский федеральный округ (с 21.03.2014 до 27.07.2016);;not_matched
abortions;108;Дальневосточный федеральный окру (до 03.11.2018);;not_matched
births;66;Коми-Пермяцкий округ, входящий в состав Пермского края;;not_matched
births;89;Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край);;not_matched
births;90;Эвенкийский автономный округ (Красноярский край);;not_matched
births;92;Усть-Ордынский Бурятский округ;;not_matched
births;101;Агинский Бурятский округ (Забайкальский край);;not_matched
births;104;Корякский округ, входящий в состав Камчатского края;;not_matched
births;112;Крымский федеральный округ;;not_matched
births;113;Чеченская и Ингушская Республики;;not_matched
births;114;Северный экономический район;;not_matched
births;115;Северо-Западный экономический район;;not_matched
births;116;Центральный экономический район;;not_matched
births;117;Волго-Вятский экономический район;;not_matched
births;118;Центрально-Черноземный экономический район;;not_matched
births;119;Поволжский экономический район;;not_matched
births;120;Северо-Кавказский экономический район;;not_matched
births;121;Уральский экономический район;;not_matched
births;122;Западно-Сибирский экономический район;;not_matched
births;123;Восточно-Сибирский экономический район;;not_matched
births;124;Дальневосточный экономический район;;not_matched
women15_49;65;Коми-Пермяцкий округ, входящий в состав Пермского края;15-19 лет;not_matched
women15_49;88;Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край);15-19 лет;not_matched
women15_49;89;Эвенкийский автономный округ (Красноярский край);15-19 лет;not_matched
women15_49;91;Усть-Ордынский Бурятский округ;15-19 лет;not_matched
women15_49;100;Агинский Бурятский округ (Забайкальский край);15-19 лет;not_matched
women15_49;103;Корякский округ, входящий в состав Камчатского края;15-19 лет;not_matched
women15_49;111;Северный экономический район;15-19 лет;not_matched
women15_49;112;Северо-Западный экономический район;15-19 лет;not_matched
women15_49;113;Центральный экономический район;15-19 лет;not_matched
women15_49;114;Волго-Вятский экономический район;15-19 лет;not_matched
women15_49;115;Центрально-Черноземный экономический район;15-19 лет;not_matched
women15_49;116;Поволжский экономический район;15-19 лет;not_matched
women15_49;117;Северо-Кавказский экономический район;15-19 лет;not_matched
women15_49;118;Уральский экономический район;15-19 лет;not_matched
women15_49;119;Западно-Сибирский экономический район;15-19 лет;not_matched
women15_49;120;Восточно-Сибирский экономический район;15-19 лет;not_matched
women15_49;121;Дальневосточный экономический район;15-19 лет;not_matched
women15_49;182;Коми-Пермяцкий округ, входящий в состав Пермского края;20-24 лет;not_matched
women15_49;205;Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край);20-24 лет;not_matched
women15_49;206;Эвенкийский автономный округ (Красноярский край);20-24 лет;not_matched
women15_49;208;Усть-Ордынский Бурятский округ;20-24 лет;not_matched
women15_49;217;Агинский Бурятский округ (Забайкальский край);20-24 лет;not_matched
women15_49;220;Корякский округ, входящий в состав Камчатского края;20-24 лет;not_matched
women15_49;228;Северный экономический район;20-24 лет;not_matched
women15_49;229;Северо-Западный экономический район;20-24 лет;not_matched
women15_49;230;Центральный экономический район;20-24 лет;not_matched
women15_49;231;Волго-Вятский экономический район;20-24 лет;not_matched
women15_49;232;Центрально-Черноземный экономический район;20-24 лет;not_matched
women15_49;233;Поволжский экономический район;20-24 лет;not_matched
women15_49;234;Северо-Кавказский экономический район;20-24 лет;not_matched
women15_49;235;Уральский экономический район;20-24 лет;not_matched
women15_49;236;Западно-Сибирский экономический район;20-24 лет;not_matched
women15_49;237;Восточно-Сибирский экономический район;20-24 лет;not_matched
women15_49;238;Дальневосточный экономический район;20-24 лет;not_matched
women15_49;299;Коми-Пермяцкий округ, входящий в состав Пермского края;25-29 лет;not_matched
women15_49;322;Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край);25-29 лет;not_matched
women15_49;323;Эвенкийский автономный округ (Красноярский край);25-29 лет;not_matched
women15_49;325;Усть-Ордынский Бурятский округ;25-29 лет;not_matched
women15_49;334;Агинский Бурятский округ (Забайкальский край);25-29 лет;not_matched
women15_49;337;Корякский округ, входящий в состав Камчатского края;25-29 лет;not_matched
women15_49;345;Северный экономический район;25-29 лет;not_matched
women15_49;346;Северо-Западный экономический район;25-29 лет;not_matched
women15_49;347;Центральный экономический район;25-29 лет;not_matched
women15_49;348;Волго-Вятский экономический район;25-29 лет;not_matched
women15_49;349;Центрально-Черноземный экономический район;25-29 лет;not_matched
women15_49;350;Поволжский экономический район;25-29 лет;not_matched
women15_49;351;Северо-Кавказский экономический район;25-29 лет;not_matched
women15_49;352;Уральский экономический район;25-29 лет;not_matched
women15_49;353;Западно-Сибирский экономический район;25-29 лет;not_matched
women15_49;354;Восточно-Сибирский экономический район;25-29 лет;not_matched
women15_49;355;Дальневосточный экономический район;25-29 лет;not_matched
women15_49;416;Коми-Пермяцкий округ, входящий в состав Пермского края;30-34 лет;not_matched
women15_49;439;Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край);30-34 лет;not_matched
women15_49;440;Эвенкийский автономный округ (Красноярский край);30-34 лет;not_matched
women15_49;442;Усть-Ордынский Бурятский округ;30-34 лет;not_matched
women15_49;451;Агинский Бурятский округ (Забайкальский край);30-34 лет;not_matched
women15_49;454;Корякский округ, входящий в состав Камчатского края;30-34 лет;not_matched
women15_49;462;Северный экономический район;30-34 лет;not_matched
women15_49;463;Северо-Западный экономический район;30-34 лет;not_matched
women15_49;464;Центральный экономический район;30-34 лет;not_matched
women15_49;465;Волго-Вятский экономический район;30-34 лет;not_matched
women15_49;466;Центрально-Черноземный экономический район;30-34 лет;not_matched
women15_49;467;Поволжский экономический район;30-34 лет;not_matched
women15_49;468;Северо-Кавказский экономический район;30-34 лет;not_matched
women15_49;469;Уральский экономический район;30-34 лет;not_matched
women15_49;470;Западно-Сибирский экономический район;30-34 лет;not_matched
women15_49;471;Восточно-Сибирский экономический район;30-34 лет;not_matched
women15_49;472;Дальневосточный экономический район;30-34 лет;not_matched
women15_49;533;Коми-Пермяцкий округ, входящий в состав Пермского края;35-39 лет;not_matched
women15_49;556;Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край);35-39 лет;not_matched
women15_49;557;Эвенкийский автономный округ (Красноярский край);35-39 лет;not_matched
women15_49;559;Усть-Ордынский Бурятский округ;35-39 лет;not_matched
women15_49;568;Агинский Бурятский округ (Забайкальский край);35-39 лет;not_matched
women15_49;571;Корякский округ, входящий в состав Камчатского края;35-39 лет;not_matched
women15_49;579;Северный экономический район;35-39 лет;not_matched
women15_49;580;Северо-Западный экономический район;35-39 лет;not_matched
women15_49;581;Центральный экономический район;35-39 лет;not_matched
women15_49;582;Волго-Вятский экономический район;35-39 лет;not_matched
women15_49;583;Центрально-Черноземный экономический район;35-39 лет;not_matched
women15_49;584;Поволжский экономический район;35-39 лет;not_matched
women15_49;585;Северо-Кавказский экономический район;35-39 лет;not_matched
women15_49;586;Уральский экономический район;35-39 лет;not_matched
women15_49;587;Западно-Сибирский экономический район;35-39 лет;not_matched
women15_49;588;Восточно-Сибирский экономический район;35-39 лет;not_matched
women15_49;589;Дальневосточный экономический район;35-39 лет;not_matched
women15_49;650;Коми-Пермяцкий округ, входящий в состав Пермского края;40-44 лет;not_matched
women15_49;673;Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край);40-44 лет;not_matched
women15_49;674;Эвенкийский автономный округ (Красноярский край);40-44 лет;not_matched
women15_49;676;Усть-Ордынский Бурятский округ;40-44 лет;not_matched
