unmatched_source_territory
Агинский Бурятский округ (Забайкальский край)
Волго-Вятский экономический район
Восточно-Сибирский экономический район
Дальневосточный экономический район
Западно-Сибирский экономический район
"Коми-Пермяцкий округ, входящий в состав Пермского края"
"Корякский округ, входящий в состав Камчатского края"
Крымский федеральный округ
Поволжский экономический район
Северный экономический район
Северо-Западный экономический район
Северо-Кавказский экономический район
Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край)
Уральский экономический район
Усть-Ордынский Бурятский округ
Центрально-Черноземный экономический район
Центральный экономический район
Чеченская и Ингушская Республики
Эвенкийский автономный округ (Красноярский край)
