territory_id,territory_name,territory_type,federal_district_id,marriages_count_latest,marriages_count_latest_year,divorces_count_latest,divorces_count_latest_year,marriage_rate_per_1000_latest,marriage_rate_per_1000_latest_year,divorce_rate_per_1000_latest,divorce_rate_per_1000_latest_year,divorces_per_100_marriages_latest,divorces_per_100_marriages_latest_year,marriage_divorce_balance_count_latest,marriage_divorce_balance_count_latest_year,marriage_divorce_balance_per_1000_latest,marriage_divorce_balance_per_1000_latest_year,family_stability_index_0_100_latest,family_stability_index_0_100_latest_year
terr_altayskiy_kray,Алтайский край,federal_subject,terr_sibirskiy_federalnyy_okrug,13905.0,2023,10843.0,2023,6.5,2023,5.1,2023,77.9791,2023,3062.0,2023,1.4,2023,22.0209,2023
terr_amurskaya_oblast,Амурская область,federal_subject,terr_dalnevostochnyy_federalnyy_okrug,5864.0,2023,4911.0,2023,7.8,2023,6.5,2023,83.7483,2023,953.0,2023,1.3,2023,16.2517,2023
terr_arhangelskaya_oblast,Архангельская область,federal_subject,terr_severo_zapadnyy_federalnyy_okrug,6836.0,2023,4964.0,2023,6.8,2023,5.0,2023,72.6156,2023,1872.0,2023,1.8,2023,27.3844,2023
terr_arhangelskaya_oblast_krome_nenetskogo_avtonomnogo_okruga,Архангельская область (кроме Ненецкого автономного округа),federal_subject,terr_severo_zapadnyy_federalnyy_okrug,6586.0,2023,4789.0,2023,6.9,2023,5.0,2023,72.7148,2023,1797.0,2023,1.9,2023,27.2852,2023
terr_astrahanskaya_oblast,Астраханская область,federal_subject,terr_yuzhnyy_federalnyy_okrug,5625.0,2023,5657.0,2023,5.9,2023,6.0,2023,100.5689,2023,-32.0,2023,-0.1,2023,0.0,2023
terr_belgorodskaya_oblast,Белгородская область,federal_subject,terr_tsentralnyy_federalnyy_okrug,10158.0,2023,6388.0,2023,6.7,2023,4.2,2023,62.8864,2023,3770.0,2023,2.5,2023,37.1136,2023
terr_bryanskaya_oblast,Брянская область,federal_subject,terr_tsentralnyy_federalnyy_okrug,6913.0,2023,5347.0,2023,6.0,2023,4.7,2023,77.347,2023,1566.0,2023,1.3,2023,22.653,2023
terr_chechenskaya_respublika,Чеченская Республика,federal_subject,terr_severo_kavkazskiy_federalnyy_okrug,2799.0,2023,6753.0,2023,1.8,2023,4.4,2023,241.2647,2023,-3954.0,2023,-2.6,2023,0.0,2023
terr_chelyabinskaya_oblast,Челябинская область,federal_subject,terr_uralskiy_federalnyy_okrug,23231.0,2023,17007.0,2023,6.8,2023,5.0,2023,73.2082,2023,6224.0,2023,1.8,2023,26.7918,2023
terr_chukotskiy_avtonomnyy_okrug,Чукотский автономный округ,federal_subject,terr_dalnevostochnyy_federalnyy_okrug,293.0,2023,226.0,2023,6.1,2023,4.7,2023,77.1331,2023,67.0,2023,1.4,2023,22.8669,2023
terr_chuvashskaya_respublika_chuvashiya,Чувашская Республика - Чувашия,federal_subject,terr_privolzhskiy_federalnyy_okrug,6129.0,2023,4179.0,2023,5.2,2023,3.6,2023,68.184,2023,1950.0,2023,1.6,2023,31.816,2023
