territory_id,territory_name,short_name,type,federal_district_id,federal_district,tfr_source_name,population_source_name,join_status
terr_rf_bez_novyh_subektov,Россия (без новых субъектов в исходной статистике),Россия,country_excluding_new_subjects,,,Россия: взвешено по федеральным округам из локального авторского прогноза,Россия: сумма федеральных округов из локального авторского прогноза,matched
terr_dalnevostochnyy_federalnyy_okrug,Дальневосточный федеральный округ (с 03.11.2018),Дальневосточный федеральный округ,federal_district,,,Дальневосточный федеральный округ,Дальневосточный федеральный округ (с 03.11.2018),matched
terr_privolzhskiy_federalnyy_okrug,Приволжский федеральный округ,Приволжский федеральный округ,federal_district,,,Приволжский федеральный округ,Приволжский федеральный округ,matched
terr_severo_zapadnyy_federalnyy_okrug,Северо-Западный федеральный округ,Северо-Западный федеральный округ,federal_district,,,Северо-Западный федеральный округ,Северо-Западный федеральный округ,matched
terr_severo_kavkazskiy_federalnyy_okrug,Северо-Кавказский федеральный округ,Северо-Кавказский федеральный округ,federal_district,,,Северо-Кавказский федеральный округ,Северо-Кавказский федеральный округ,matched
terr_sibirskiy_federalnyy_okrug,Сибирский федеральный округ (с 03.11.2018),Сибирский федеральный округ,federal_district,,,Сибирский федеральный округ,Сибирский федеральный округ (с 03.11.2018),matched
terr_uralskiy_federalnyy_okrug,Уральский федеральный округ,Уральский федеральный округ,federal_district,,,Уральский федеральный округ,Уральский федеральный округ,matched
terr_tsentralnyy_federalnyy_okrug,Центральный федеральный округ,Центральный федеральный округ,federal_district,,,Центральный федеральный округ,Центральный федеральный округ,matched
terr_yuzhnyy_federalnyy_okrug,Южный федеральный округ (с 29.07.2016),Южный федеральный округ,federal_district,,,Южный федеральный округ (с 29.07.2016),Южный федеральный округ (с 29.07.2016),matched
terr_altayskiy_kray,Алтайский край,Алтайский край,federal_subject,terr_sibirskiy_federalnyy_okrug,Сибирский федеральный округ,Алтайский край,Алтайский край,matched
terr_amurskaya_oblast,Амурская область,Амурская область,federal_subject,terr_dalnevostochnyy_federalnyy_okrug,Дальневосточный федеральный округ,Амурская область,Амурская область,matched
terr_arhangelskaya_oblast,Архангельская область,Архангельская область,federal_subject_aggregate,terr_severo_zapadnyy_federalnyy_okrug,Северо-Западный федеральный округ,Архангельская область,Архангельская область,matched
terr_arhangelskaya_oblast_krome_nenetskogo_avtonomnogo_okruga,Архангельская область (кроме Ненецкого автономного округа),Архангельская область (кроме Ненецкого автономного округа),federal_subject_remainder,terr_severo_zapadnyy_federalnyy_okrug,Северо-Западный федеральный округ,Архангельская область (кроме Ненецкого автономного округа),Архангельская область (кроме Ненецкого автономного округа),matched
terr_astrahanskaya_oblast,Астраханская область,Астраханская область,federal_subject,terr_yuzhnyy_federalnyy_okrug,Южный федеральный округ,Астраханская область,Астраханская область,matched
terr_belgorodskaya_oblast,Белгородская область,Белгородская область,federal_subject,terr_tsentralnyy_federalnyy_okrug,Центральный федеральный округ,Белгородская область,Белгородская область,matched
terr_bryanskaya_oblast,Брянская область,Брянская область,federal_subject,terr_tsentralnyy_federalnyy_okrug,Центральный федеральный округ,Брянская область,Брянская область,matched
terr_vladimirskaya_oblast,Владимирская область,Владимирская область,federal_subject,terr_tsentralnyy_federalnyy_okrug,Центральный федеральный округ,Владимирская область,Владимирская область,matched
terr_volgogradskaya_oblast,Волгоградская область,Волгоградская область,federal_subject,terr_yuzhnyy_federalnyy_okrug,Южный федеральный округ,Волгоградская область,Волгоградская область,matched
terr_vologodskaya_oblast,Вологодская область,Вологодская область,federal_subject,terr_severo_zapadnyy_federalnyy_okrug,Северо-Западный федеральный округ,Вологодская область,Вологодская область,matched
terr_voronezhskaya_oblast,Воронежская область,Воронежская область,federal_subject,terr_tsentralnyy_federalnyy_okrug,Центральный федеральный округ,Воронежская область,Воронежская область,matched
terr_evreyskaya_avtonomnaya_oblast,Еврейская автономная область,Еврейская автономная область,federal_subject,terr_dalnevostochnyy_federalnyy_okrug,Дальневосточный федеральный округ,Еврейская автономная область,Еврейская автономная область,matched
terr_zabaykalskiy_kray,Забайкальский край,Забайкальский край,federal_subject,terr_dalnevostochnyy_federalnyy_okrug,Дальневосточный федеральный округ,Забайкальский край,Забайкальский край,matched
terr_ivanovskaya_oblast,Ивановская область,Ивановская область,federal_subject,terr_tsentralnyy_federalnyy_okrug,Центральный федеральный округ,Ивановская область,Ивановская область,matched
terr_irkutskaya_oblast,Иркутская область,Иркутская область,federal_subject,terr_sibirskiy_federalnyy_okrug,Сибирский федеральный округ,Иркутская область,Иркутская область,matched
terr_kabardino_balkarskaya_respublika,Кабардино-Балкарская Республика,Кабардино-Балкарская Республика,federal_subject,terr_severo_kavkazskiy_federalnyy_okrug,Северо-Кавказский федеральный округ,Кабардино-Балкарская Республика,Кабардино-Балкарская Республика,matched
terr_kaliningradskaya_oblast,Калининградская область,Калининградская область,federal_subject,terr_severo_zapadnyy_federalnyy_okrug,Северо-Западный федеральный округ,Калининградская область,Калининградская область,matched
terr_kaluzhskaya_oblast,Калужская область,Калужская область,federal_subject,terr_tsentralnyy_federalnyy_okrug,Центральный федеральный округ,Калужская область,Калужская область,matched
terr_kamchatskiy_kray,Камчатский край,Камчатский край,federal_subject,terr_dalnevostochnyy_federalnyy_okrug,Дальневосточный федеральный округ,Камчатский край,Камчатский край,matched
terr_karachaevo_cherkesskaya_respublika,Карачаево-Черкесская Республика,Карачаево-Черкесская Республика,federal_subject,terr_severo_kavkazskiy_federalnyy_okrug,Северо-Кавказский федеральный округ,Карачаево-Черкесская Республика,Карачаево-Черкесская Республика,matched
terr_kemerovskaya_oblast_kuzbass,Кемеровская область - Кузбасс,Кемеровская область - Кузбасс,federal_subject,terr_sibirskiy_federalnyy_okrug,Сибирский федеральный округ,Кемеровская область - Кузбасс,Кемеровская область - Кузбасс,matched
terr_kirovskaya_oblast,Кировская область,Кировская область,federal_subject,terr_privolzhskiy_federalnyy_okrug,Приволжский федеральный округ,Кировская область,Кировская область,matched
terr_kostromskaya_oblast,Костромская область,Костромская область,federal_subject,terr_tsentralnyy_federalnyy_okrug,Центральный федеральный округ,Костромская область,Костромская область,matched
terr_krasnodarskiy_kray,Краснодарский край,Краснодарский край,federal_subject,terr_yuzhnyy_federalnyy_okrug,Южный федеральный округ,Краснодарский край,Краснодарский край,matched
terr_krasnoyarskiy_kray,Красноярский край,Красноярский край,federal_subject,terr_sibirskiy_federalnyy_okrug,Сибирский федеральный округ,Красноярский край,Красноярский край,matched
