subject;region_slug;federal_district;settlements;municipalities;population;children;urban_population;rural_population;avg_score;engineering_score;social_score;data_confidence_note
Алтайский край;altayskiy_kray;Сибирский федеральный округ;1605;69;2332813;482297;1305115;1027698;87.0;87.0;97.9;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Амурская область;amurskaya_oblast;Дальневосточный федеральный округ;632;29;793406;176453;537278;256128;83.0;83.9;90.8;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Архангельская область;arhangelskaya_oblast;Северо-Западный федеральный округ;3954;26;1100247;228406;866990;233257;87.9;91.0;96.4;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Астраханская область;astrahanskaya_oblast;Южный федеральный округ;432;13;1016036;216248;677980;338056;87.3;88.5;95.2;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Белгородская область;belgorodskaya_oblast;Центральный федеральный округ;1601;22;1558728;290265;1045525;513203;89.2;92.3;96.6;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Брянская область;bryanskaya_oblast;Центральный федеральный округ;2707;31;1194976;224152;840240;354736;87.5;91.1;95.8;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Владимирская область;vladimirskaya_oblast;Центральный федеральный округ;2514;21;1388103;221953;1085139;302964;91.7;97.3;98.4;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Волгоградская область;volgogradskaya_oblast;Южный федеральный округ;1509;38;2552578;488405;1970676;581902;88.2;90.3;95.9;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Вологодская область;vologodskaya_oblast;Северо-Западный федеральный округ;7795;28;1169929;236197;848340;321589;88.7;90.0;97.0;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Воронежская область;voronezhskaya_oblast;Центральный федеральный округ;1734;34;2327821;408255;1578606;749215;90.1;93.9;97.3;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Еврейская автономная область;evreyskaya_avtonomnaya_oblast;Дальневосточный федеральный округ;110;6;168203;37205;111190;57013;80.4;80.0;90.2;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Забайкальский край;zabaykalskiy_kray;Дальневосточный федеральный округ;903;35;1173136;284022;723182;449954;78.6;76.4;88.1;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Ивановская область;ivanovskaya_oblast;Центральный федеральный округ;3071;27;1027869;176586;831128;196741;90.8;96.4;98.1;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Иркутская область;irkutskaya_oblast;Сибирский федеральный округ;1543;42;2397782;578616;1894973;502809;84.4;82.9;95.3;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Кабардино-Балкарская республика;kabardino_balkarskaya_respublika;Северо-Кавказский федеральный округ;171;13;857668;199307;468774;388894;88.7;88.7;99.0;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Калининградская область;kaliningradskaya_oblast;Северо-Западный федеральный округ;1045;22;974147;186558;764032;210115;91.9;95.4;98.8;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Калужская область;kaluzhskaya_oblast;Центральный федеральный округ;3234;26;1014346;187864;774488;239858;92.1;95.9;99.3;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Камчатский край;kamchatskiy_kray;Дальневосточный федеральный округ;87;14;314667;67179;248744;65923;90.3;92.9;97.0;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Карачаево-Черкесская республика;karachaevo_cherkesskaya_respublika;Северо-Кавказский федеральный округ;145;12;462275;110234;199102;263173;85.8;85.2;97.7;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Кемеровская область;kemerovskaya_oblast;Сибирский федеральный округ;1108;34;2694078;589084;2302582;391496;87.4;86.9;97.7;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Кировская область;kirovskaya_oblast;Приволжский федеральный округ;4231;45;1242308;237429;963374;278934;88.0;89.7;96.5;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Костромская область;kostromskaya_oblast;Центральный федеральный округ;3496;29;672702;136315;495047;177655;88.9;91.3;96.0;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Краснодарский край;krasnodarskiy_kray;Южный федеральный округ;1827;44;5809023;1174280;3080126;2728897;90.0;91.3;99.2;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Красноярский край;krasnoyarskiy_kray;Сибирский федеральный округ;1785;61;2907471;551036;2237245;670226;82.6;82.4;92.7;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
