measure,sex,born_children_group,n_unweighted,weighted_population,mean_score_1_5,share_score_4_5_pct
land_plot_for_house_construction,Все,0 детей,4775,18637863.048066013,3.081214143804455,44.94407059633613
land_plot_for_house_construction,Все,1 ребёнок,4710,17960460.936719686,2.8200134592800894,37.63283090310484
land_plot_for_house_construction,Все,2 ребёнка,4060,14250411.738484945,2.771494053828555,38.415087666512285
land_plot_for_house_construction,Все,3+ детей,1443,4477655.276729324,2.859003284613057,41.26543966010922
land_plot_for_house_construction,Все,все,14988,55326390.99999997,2.8986627982253372,40.59125511781448
land_plot_for_house_construction,Женщины,0 детей,2224,9030394.878530324,3.1772829920930925,47.52632239302264
land_plot_for_house_construction,Женщины,1 ребёнок,2389,9306559.150606908,2.8934337844028493,39.086943639820255
land_plot_for_house_construction,Женщины,2 ребёнка,1917,6796106.681463504,2.9641530144685175,43.63337883698321
land_plot_for_house_construction,Женщины,3+ детей,676,2078719.4525541328,2.9959317478658387,44.332954869965825
land_plot_for_house_construction,Женщины,все,7206,27211780.16315487,3.013122770361429,43.423814148696046
land_plot_for_house_construction,Мужчины,0 детей,2551,9607468.169535687,2.9909156780418638,42.51692194610017
land_plot_for_house_construction,Мужчины,1 ребёнок,2321,8653901.786112782,2.7410559421392935,36.069052328958136
land_plot_for_house_construction,Мужчины,2 ребёнка,2143,7454305.057021441,2.595846446220148,33.657559873085745
land_plot_for_house_construction,Мужчины,3+ детей,767,2398935.824175191,2.7403523989563863,38.60738458690734
land_plot_for_house_construction,Мужчины,все,7782,28114610.836845104,2.787878422893834,37.849656662306295
partial_mortgage_credit_repayment,Все,0 детей,4775,18637863.048066013,3.3855656998176773,54.89224308388532
partial_mortgage_credit_repayment,Все,1 ребёнок,4710,17960460.936719686,3.0916583947631535,46.222664510612596
partial_mortgage_credit_repayment,Все,2 ребёнка,4060,14250411.738484945,2.952363130544847,43.86567602072407
partial_mortgage_credit_repayment,Все,3+ детей,1443,4477655.276729324,2.90845924028583,43.479578793853555
partial_mortgage_credit_repayment,Все,все,14988,55326390.99999997,3.139962405255411,48.31410346702592
partial_mortgage_credit_repayment,Женщины,0 детей,2224,9030394.878530324,3.499043888686735,57.33484430865441
partial_mortgage_credit_repayment,Женщины,1 ребёнок,2389,9306559.150606908,3.2406989764621,49.8405269495272
partial_mortgage_credit_repayment,Женщины,2 ребёнка,1917,6796106.681463504,3.1675659335329387,48.858417318972954
partial_mortgage_credit_repayment,Женщины,3+ детей,676,2078719.4525541328,3.036550222462479,46.20192502323613
partial_mortgage_credit_repayment,Женщины,все,7206,27211780.16315487,3.2925724156837894,51.80432683145768
partial_mortgage_credit_repayment,Мужчины,0 детей,2551,9607468.169535687,3.2789035868129823,52.59635688356574
partial_mortgage_credit_repayment,Мужчины,1 ребёнок,2321,8653901.786112782,2.931377515258838,42.331951209411386
partial_mortgage_credit_repayment,Мужчины,2 ребёнка,2143,7454305.057021441,2.7561622511779067,39.313782552950414
partial_mortgage_credit_repayment,Мужчины,3+ детей,767,2398935.824175191,2.7974661850885685,41.120618622190506
partial_mortgage_credit_repayment,Мужчины,все,7782,28114610.836845104,2.9922530850527123,44.935959929333585
monthly_cash_payment,Все,0 детей,4775,18637863.048066013,3.371643571018565,53.398094005301914
